Model,MAE,MSE,R2,Error
model_Total Claim Amount_Income_Customer Lifetime Value,4286.682653806186,52291872.53493996,-0.014664019894811808,
model_Total Claim Amount_Months Since Policy Inception_Customer Lifetime Value,4318.656055606597,53627974.00496419,-0.04058954183239982,
model_Total Claim Amount_Months Since Policy Inception,4318.961998247943,53713365.65023169,-0.04224646911100627,
model_Months Since Last Claim_Income,4340.881182393557,51418437.78828338,0.0022839830776619774,
model_Months Since Last Claim_Income_Customer Lifetime Value,4342.494403950072,51405461.32139113,0.002535776586340077,
model_Months Since Last Claim_Total Claim Amount_Customer Lifetime Value,4372.415065241291,56005464.363751374,-0.08672202490797343,
model_Months Since Last Claim_Total Claim Amount,4374.2046711710655,56047249.46938925,-0.08753281712486949,
model_Months Since Last Claim_Months Since Policy Inception_Income,4427.405103208747,54316360.15077623,-0.05394688820554494,
model_Months Since Policy Inception_Income,4436.935125001007,52415174.35379157,-0.017056550762638567,
model_Months Since Policy Inception_Income_Customer Lifetime Value,4441.505424753996,52483351.7278106,-0.01837945478260461,
model_Months Since Last Claim,4551.858315856623,50930349.0315178,0.011754787544920431,
model_Months Since Last Claim_Customer Lifetime Value,4551.858315856627,50930349.03151781,0.01175478754492032,
model_Months Since Policy Inception,4594.924742988851,51836250.89377714,-0.005823202697752272,
model_Months Since Policy Inception_Customer Lifetime Value,4594.924742988853,51836250.8937771,-0.005823202697751606,
model_Total Claim Amount,4609.3087766980725,60849776.02279215,-0.18072035587807433,
model_Total Claim Amount_Customer Lifetime Value,4609.30877669808,60849776.022792235,-0.1807203558780759,
model_Income_Customer Lifetime Value,4658.461416711682,61730175.01437606,-0.19780349206362557,
model_Income,4658.461416711689,61730175.01437612,-0.19780349206362668,
model_Months Since Last Claim_Months Since Policy Inception,4887.662480225961,62880236.201678924,-0.22011911494850156,
model_Months Since Last Claim_Months Since Policy Inception_Customer Lifetime Value,4890.175506210683,62909314.47534533,-0.2206833456141799,
model_Customer Lifetime Value,,,,No data to train on after handling NaN values
